,log2_Hu_IL_1b__39,log2_Hu_IL_1ra__25,log2_Hu_IL_4__52,log2_Hu_IL_5__33,log2_Hu_IL_6__19,log2_Hu_IL_7__74,log2_Hu_IL_8__54,log2_Hu_IL_9__77,log2_Hu_IL_10__56,log2_Hu_IL_13__51,log2_Hu_Eotaxin__43,log2_Hu_G_CSF__57,log2_Hu_IFN_g__21,log2_Hu_IP_10__48,log2_Hu_MCP_1_MCAF__53,log2_Hu_MIP_1a__55,log2_Hu_PDGF_bb__47,log2_Hu_MIP_1b__18,log2_Hu_RANTES__37,log2_Hu_TNF_a__36,log2_ang1,log2_ang2,log2_rage,log2_hmgb1,log2_mbl,log2_pai1,log2_pap,log2_sdc1,log2_stm,log2_tat,log2_tfpi,log2_timp1,log2_timp2,log2_timp3,log2_timp4,log2_tpa
count,266.0,267.0,267.0,252.0,271.0,265.0,268.0,263.0,269.0,263.0,263.0,263.0,258.0,271.0,271.0,262.0,271.0,271.0,266.0,269.0,267.0,273.0,269.0,275.0,258.0,272.0,269.0,270.0,261.0,270.0,254.0,269.0,270.0,269.0,270.0,277.0
mean,0.942941556292062,7.908234625814787,1.9059375311328803,1.0359652151008705,7.289972503397413,2.532653107535084,5.239385939665177,4.007325220027274,5.375978654870783,2.249050531507531,5.8777841802066675,8.059524704368593,5.822561164720906,8.946788070317515,7.69714304931043,2.0198644807903428,8.668197992576943,6.297371435881422,12.632080642573126,4.9679546338519325,11.454314902768724,10.20292040418539,11.806265182060041,4.393120673397792,7.620322837812548,14.336434229420089,13.147626925514594,6.729714261115439,2.9273838439380206,2.897941345943602,14.532995055397297,12.469484431664572,14.50584538223031,9.366037422009228,9.503728224703886,8.6129134868813
std,1.0384384853473252,1.5478553575020395,1.0179829196860537,1.3369181315706444,2.1568257106741884,1.0431447248700685,1.3730365684223793,1.273343197256556,1.6445622774014959,1.2432662101706917,0.8128898529538833,1.409852887636118,1.4337460006279734,1.4990216176883346,1.5438234898232888,1.5368429587408199,1.7757412562321995,1.2836261427738849,1.5825974509426872,1.1888311750002634,1.274667724071198,0.975201554389365,1.7765998368504297,1.6564760538307075,0.9366035823517979,1.54665168992981,1.3121490381003234,1.5944618163232847,0.5663033438701397,0.6005011565491346,0.846942633028071,0.8955679423982568,0.7554634315389035,0.815323816364674,1.0329987540189136,1.8180565929958774
min,-3.6438561897747253,3.7729413378313357,-1.5145731728297585,-4.321928094887363,0.8797057662822882,-1.7369655941662063,0.2750070474998698,-1.0588936890535685,0.22650852980867975,-6.643856189774724,3.5285713188707577,2.521050736900963,-4.643856189774724,2.304511041809953,2.7990873060740036,-1.5145731728297585,3.653060017104565,1.042644337408494,-0.12029423371771177,-1.0,3.448504551900736,7.180704840195555,7.044448765862916,-1.1648843847417825,4.53605290024021,8.083479327331842,8.212374787567269,3.608809242675524,-0.4819685073978307,0.24245007367770144,9.98498801863518,9.984874124655418,11.373724328366762,6.474922700379798,4.650190123496776,-2.9434164716336326
25%,0.4030767716909479,6.935453849604242,1.4356261294276265,0.4382632387774731,5.815440581861092,1.9297909977185974,4.341434631625397,3.3015876466031866,4.286881147788162,1.5385360266868844,5.4213717474793475,7.328359099661693,5.305127337162966,7.932212748426113,6.626946383943215,1.1906122678730675,7.66820291143682,5.5183758369706535,11.883961931279114,4.332707933640605,10.88150231457772,9.548841169946204,10.469967353437859,3.2186214028770737,7.022367813028454,13.363061295354221,12.329796338220703,5.309339226083357,2.6248027652529475,2.485554789002173,14.086613125493713,11.909244325028071,13.97309587025843,8.924099885640741,8.909165401954247,7.450708141895365
50%,0.9030176416181097,7.624612709005742,1.925999418556223,1.1210115888359782,7.313517964272897,2.5109619192773796,4.948367061324461,4.070389327891398,5.302319050948834,2.220329954879556,5.876762490781554,7.9862971535539,5.885200423773272,8.900504579655403,7.646738698307846,1.8318715494358473,8.782932704820837,6.345005983008724,12.689484794587027,4.951867504326902,11.496727972889113,10.177730967033272,11.455928218039098,4.465190887925982,7.668169592043737,14.214548539115597,13.314342491799243,6.7918438842188475,2.9500950941736863,2.8777423271542153,14.562692390052286,12.381964666953234,14.60822747325416,9.372212109189068,9.536507785266721,8.732855955265041
75%,1.4659584555022984,8.671932220152106,2.458118883933886,1.7813494417640658,8.676697267390956,3.0789513413948217,5.814675707328327,4.646735824419068,6.462052318796434,2.938285484939221,6.415064366596136,8.736380585090387,6.5996892615875495,9.869726319092639,8.517070678361286,2.480258155167035,9.870279850932466,7.080443061761471,13.527958007044376,5.5858639034626885,12.091509546195557,10.756964889273167,13.366425357789343,5.736983570683217,8.269115503537513,15.289645540324196,14.20627416937725,7.913057195710475,3.256406853794245,3.2702298839864836,15.103048008214248,13.03005496439261,15.053880408873349,9.832288765962295,10.213747287853732,9.88926818480876
max,5.087887100933117,14.231352451585837,4.949067965852913,5.868390453054455,13.2107459115389,5.8974824681961024,9.831576437299542,10.118266273368496,10.99472820600697,7.887708033029806,8.670125097965277,13.286702139395507,10.45359988489147,15.559757074463239,12.382648341454976,10.260108009962712,12.776823675187584,11.44416595202758,16.851778804501055,8.490289329508663,15.071248573770399,13.86834318407611,16.255249915620308,7.84159579578108,9.79376585730965,18.647033591294313,15.535785673757841,9.958552715431011,4.265436896049098,5.290940402403678,17.35150780035168,15.582221384166484,16.45513550329775,13.107802275139209,11.923635752401092,14.332475082262555
