,log2_Hu_IL_1b__39,log2_Hu_IL_1ra__25,log2_Hu_IL_4__52,log2_Hu_IL_5__33,log2_Hu_IL_6__19,log2_Hu_IL_7__74,log2_Hu_IL_8__54,log2_Hu_IL_9__77,log2_Hu_IL_10__56,log2_Hu_IL_13__51,log2_Hu_Eotaxin__43,log2_Hu_G_CSF__57,log2_Hu_IFN_g__21,log2_Hu_IP_10__48,log2_Hu_MCP_1_MCAF__53,log2_Hu_MIP_1a__55,log2_Hu_PDGF_bb__47,log2_Hu_MIP_1b__18,log2_Hu_RANTES__37,log2_Hu_TNF_a__36,log2_ang1,log2_ang2,log2_rage,log2_hmgb1,log2_mbl,log2_pai1,log2_pap,log2_sdc1,log2_stm,log2_tat,log2_tfpi,log2_timp1,log2_timp2,log2_timp3,log2_timp4,log2_tpa
count,235.0,235.0,237.0,226.0,240.0,237.0,236.0,224.0,237.0,237.0,245.0,234.0,228.0,241.0,239.0,232.0,241.0,240.0,237.0,238.0,237.0,241.0,239.0,242.0,230.0,239.0,236.0,243.0,227.0,241.0,230.0,239.0,239.0,238.0,238.0,242.0
mean,0.8055553986333256,6.919004405679338,1.569456394576968,0.7919270333764284,5.219210916299385,2.4943312393464625,4.431843214985128,3.3846665246585808,4.068662429983833,2.1068691835420994,5.668198761416183,7.508673545645304,5.418714840684582,8.230977445166731,6.3056403692042,2.0206500876776037,8.105183897980158,5.3420049018046125,12.432741093563171,4.696685981128067,11.39704349834647,9.850338800727481,11.051592475018335,3.122081150195643,7.616104089229302,13.852827084132764,12.158770657279328,5.9473265971545395,2.672011175333809,2.8149031619665466,14.220322976960109,11.843360516227204,13.89231852994475,9.156017293278046,9.063587118715908,7.837836918288883
std,1.3004079269718622,1.6076894129873136,1.2103984606306089,1.465580398805778,2.333698528076013,1.1622257587467035,1.5526072379120976,1.835619534449108,1.7398297082987442,1.172200511983644,0.8875395451551383,1.562105281815667,1.4833280162142093,1.4564428840396162,1.4046389834623814,1.4696246328409466,1.9790623475006166,1.6033786735988695,1.6482204711107857,1.299842865962241,1.3168737137361552,1.0368514022280078,1.8256456675818558,1.6692304041076316,0.9192794265443535,1.596284475932436,1.49458745717498,1.6297663684638117,0.5774954341070022,0.5991208388794377,0.6723611781525431,0.7411826776109293,0.6229461948788731,0.7812741184601801,0.9577141463032501,1.6781499284612915
min,-4.321928094887363,2.625270489374693,-4.321928094887363,-4.058893689053568,-3.0588936890535687,-2.0588936890535687,-0.6665762662748083,-5.058893689053569,0.2509615735332188,-0.6214883767462701,2.0840642647884744,-0.2688167584278,-1.15200309344505,1.636914580355878,1.9335726382610239,-1.2863041851566412,0.7990873060740036,-2.5563933485243853,2.1795110502715107,-0.4344028241457749,5.080145978629491,5.7251958172266635,7.818134760810848,-2.539519529959989,5.0,7.0953970227925565,8.159366809743736,2.503348735167504,-0.6170561304310095,1.231432408447965,10.190442018782825,9.647278528076873,12.33365852826406,5.9963887464476215,4.364572432295856,0.851199338593294
25%,0.07722679633993629,5.830845031986023,0.8399595874895318,0.0,3.826802684285827,1.899175630480513,3.4666053364686915,2.3833581982223158,3.0214797274104517,1.304511041809953,5.029011086659069,6.640666284221454,4.659331978065386,7.3087940672164775,5.448545055898096,1.2125668169249686,6.745775149485796,4.569699677091206,11.629338404118133,3.9214791752637144,10.754515091839794,9.130879402903842,9.616579477498444,1.9302640125538995,7.050932051985867,12.89269108413951,11.097175421386007,4.630797609917213,2.4625663909867104,2.388740604787264,13.842174409563825,11.412755066744733,13.459470027411509,8.755340992003276,8.458671958133147,6.764677628565681
50%,0.7311832415722,6.7997349224788675,1.636914580355878,0.8678910494666447,4.607010539384368,2.5459683691052923,4.200841895969098,3.544103667178147,3.8308637567517576,2.0426443374084937,5.656782364218995,7.4296658543434635,5.53929704571142,8.167468325656124,6.099084760891863,1.831877241191673,8.239025633365138,5.291464824684748,12.57968834999365,4.716094506429931,11.49355927617063,9.760869614115535,10.676856232451282,3.0714140561254375,7.694869439338492,13.718265289118461,12.27436181480239,5.5229345609434555,2.7363884007034605,2.773785389363902,14.225133685396258,11.775305743676554,13.869456005689749,9.154083855299124,9.101393659113617,7.798180147387985
75%,1.4672205076201326,7.8275263672395,2.408711861029429,1.667858457771834,6.312655326442047,3.220329954879556,5.133491523281496,4.417177293421064,4.857980995127573,2.8196681834964554,6.220910321648719,8.294194055865152,6.4004525326956365,9.024280889399096,6.976333654495377,2.66318334887295,9.45022149589718,6.088734499291144,13.35860724911781,5.478404081246259,12.127121219888629,10.469499372051187,12.279356960578644,4.268250826463947,8.290926235048808,14.653439725316094,13.343966965218172,7.220703618310222,3.025028097743223,3.1610814822771838,14.640209985439284,12.321221892910998,14.27028955334063,9.613807842563386,9.65703170412565,8.8976235338199
max,6.276682759809063,12.252142064943975,4.957914598632986,4.517275693209582,13.79911766958801,5.897966431649445,10.07876458993531,9.150483518788212,10.146021276917873,6.856487779495678,8.011506820396688,13.531703106660807,8.432249573659913,12.397768207242002,11.829302548423124,10.061303680783485,13.028121901007648,11.874316694461577,18.8703540325125,8.146135865952303,14.8146985136786,13.029861774567276,16.20189417455172,7.324765608487272,9.80928581019891,18.646492439329027,15.307606403351729,9.843418610801299,5.134878054343112,5.147591627337548,16.241772790970682,14.340448218799024,15.963736233473917,11.43108489893268,11.935271884657569,11.3744135483568
